REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
6945646BC5964S,0.200405104917602,38.7631514089488,UR PARQUE CALABLANCA 41 JAVEA/XABIA (ALICANTE),OK,11
6943625BC5964S,0.200859106211604,38.7617725921443,UR PARQUE CALABLANCA 33 JAVEA/XABIA (ALICANTE),OK,11
6943613BC5964S,0.200693524312329,38.7614633847,UR PARQUE CALABLANCA 14 JAVEA/XABIA (ALICANTE),OK,11
6943615BC5964S,0.200269424043295,38.7614945711573,UR PARQUE CALABLANCA 2 JAVEA/XABIA (ALICANTE),OK,11
6945645BC5964S,0.200376698778828,38.7630420746216,UR PARQUE CALABLANCA 40 JAVEA/XABIA (ALICANTE),OK,11
6945613BC5964S,0.200898437407245,38.7631038627475,UR PARQUE CALABLANCA 54 JAVEA/XABIA (ALICANTE),OK,11
6945647BC5964S,0.20041547213103,38.7632423821184,UR PARQUE CALABLANCA 44 JAVEA/XABIA (ALICANTE),OK,11
6943617BC5964S,0.200064334522542,38.7616602921419,UR PARQUE CALABLANCA 4 JAVEA/XABIA (ALICANTE),OK,11
6943633BC5964S,0.200524812537013,38.7618553936706,UR PARQUE CALABLANCA 20 JAVEA/XABIA (ALICANTE),OK,11
6943611BC5964S,0.201098938419351,38.7614392266473,UR PARQUE CALABLANCA 26 JAVEA/XABIA (ALICANTE),OK,11
6943614BC5964S,0.20043161065592,38.7614814315715,UR PARQUE CALABLANCA 13 JAVEA/XABIA (ALICANTE),OK,11
6945621BC5964S,0.200840951902322,38.7634558334552,UR PARQUE CALABLANCA 60 JAVEA/XABIA (ALICANTE),OK,11
6945639BC5964S,0.200569288497612,38.7633257125573,UR PARQUE CALABLANCA 46 JAVEA/XABIA (ALICANTE),OK,11
6943629BC5964S,0.200511131468747,38.7616313623176,UR PARQUE CALABLANCA 16 JAVEA/XABIA (ALICANTE),OK,11
6945611BC5964S,0.200901525812983,38.7633722366513,UR PARQUE CALABLANCA 58 JAVEA/XABIA (ALICANTE),OK,11
7137013BC5973N,0.202877982696493,38.7568766940311,PD CM CAP MARTI 222 JAVEA/XABIA (ALICANTE),OK,12
6923706BC5962S,0.200374832653134,38.744130289523,UR COSTA NOVA PANORAMA 281 JAVEA/XABIA (ALICANTE),OK,12
3664618BC5937S,0.161720989994351,38.7886790351033,CL SANT JOSEP 1 JAVEA/XABIA (ALICANTE),OK,3
0575803BC5907N,0.127164034909522,38.7894381835546,CR DE JESUS POBRE 149 JAVEA/XABIA (ALICANTE),OK,1
3664010BC5937S,0.161773227369092,38.7889636462493,CL SANT JOSEP 6 JAVEA/XABIA (ALICANTE),OK,3
3473806BC5937S,0.159946938553085,38.7885847236394,CL NOU 6 JAVEA/XABIA (ALICANTE),OK,2
03082A00400344,0.165611331120374,38.8058651873259,CR CAP DE SANT ANTONI 7(A) Polígono 4 Parcela 344 LA PLANA. JAVEA/XABIA (ALICANTE),OK,1
5380713BC5957N,0.181237435160432,38.7944901038011,AV REY JAIME I 8 JAVEA/XABIA (ALICANTE),OK,6
2229320BC5922N,0.14864385229862,38.7486892648455,CR DEL POBLE NOU DE BENITATX 236 JAVEA/XABIA (ALICANTE),OK,1
3765613BC5937S,0.162450947226374,38.789498691907,CL TOSSAL DE BAIX 6 JAVEA/XABIA (ALICANTE),OK,3
5072401BC5947S,0.17747583350461,38.7877308234918,CL BOLONIA 11 JAVEA/XABIA (ALICANTE),OK,7
3679019BC5938S,0.160559869028342,38.7945992560684,CL ALBOCASSER 7 JAVEA/XABIA (ALICANTE),OK,1
4837803BC5943N,0.177048974804339,38.7566508895979,CL MIGUEL CABRERA 19 JAVEA/XABIA (ALICANTE),OK,1
8128067BC5982N,0.215591966325659,38.7484455813472,CL DEL CASTANYER 1 JAVEA/XABIA (ALICANTE),OK,12
5344005BC5954S,0.183074246037453,38.7622082265081,CM ADSUBIES 174 JAVEA/XABIA (ALICANTE),OK,1
3662005BC5937S,0.16178047440078,38.7873379205816,RD SUD 109 JAVEA/XABIA (ALICANTE),OK,9
3877234BC5937N,0.164218531331021,38.7919668399293,CL DE CASTELL DE CABRES 9 JAVEA/XABIA (ALICANTE),OK,4
1195385BC9517N,0.13526998296787,38.7905987803574,CL MOLA DEL MURAR 10 JAVEA/XABIA (ALICANTE),OK,2
3779304BC5937N,0.163993716304164,38.7933093452062,CL DE LA SOBERANA 37 JAVEA/XABIA (ALICANTE),OK,1
4380603BC5948S,0.171190004264586,38.7949929769214,CL BENIGANIM 18 JAVEA/XABIA (ALICANTE),OK,1
0001014BC5950N,,,,SIN_COORDENADAS,
0001016BC5950N,,,,SIN_COORDENADAS,
0001013BC5950N,,,,SIN_COORDENADAS,
0001018BC5950N,,,,SIN_COORDENADAS,
0001015BC5950N,,,,SIN_COORDENADAS,
0001017BC5950N,,,,SIN_COORDENADAS,
0001010BC5950N,,,,SIN_COORDENADAS,
0001011BC5950N,,,,SIN_COORDENADAS,
0001012BC5950N,,,,SIN_COORDENADAS,
0001019BC5950N,,,,SIN_COORDENADAS,
5533702BC5953S,0.184153133181163,38.7541153495203,UR PINO SOL 62 JAVEA/XABIA (ALICANTE),OK,12
0011005BC5905S,0.124330115666577,38.7777128784234,CR GATA 104 JAVEA/XABIA (ALICANTE),OK,1
4933001BC5943S,0.177833485171851,38.753752973816,CL RENE MAGRITTE 1 JAVEA/XABIA (ALICANTE),OK,12
5747203BC5954N,0.187532714351715,38.7662414351489,CL HAYA LA 8 JAVEA/XABIA (ALICANTE),OK,11
5338706BC5953N,0.182585689881736,38.7568130653559,UR PINO SOL 37 JAVEA/XABIA (ALICANTE),OK,1
6353104BC5965S,0.193196591335212,38.7712110602343,CL DELFOS 24 JAVEA/XABIA (ALICANTE),OK,11
6353101BC5965S,0.193230967942332,38.7710739529045,CL PIREO 23 JAVEA/XABIA (ALICANTE),OK,11
2794514BC5924S,0.152383074170068,38.7606250027777,CL MAR DE NORUEGA 46 JAVEA/XABIA (ALICANTE),OK,1
7912405BC5971S,0.214259135006504,38.734373845808,CL FLAMENC 5 JAVEA/XABIA (ALICANTE),OK,12
6251302BC5965S,0.192497682914673,38.7699460996552,CL ATENAS 2 JAVEA/XABIA (ALICANTE),OK,11
5370711BC5956N,0.181637057156684,38.7860392113014,UR BAHIA DE JAVEA 59 JAVEA/XABIA (ALICANTE),OK,7
7937410BC5973N,0.212313488051933,38.7565307311911,PD PORTITXOL 60 JAVEA/XABIA (ALICANTE),OK,12
5744005BC5954S,0.188393457549472,38.7629654492008,CL GINESTA LA 101(0) JAVEA/XABIA (ALICANTE),OK,12
5451803BC5955S,0.184400557747164,38.7691532860946,CL NIZA 18 JAVEA/XABIA (ALICANTE),OK,11
5233202BC5953S,0.182069349036348,38.7544042912056,CL CORREGGIO 558 JAVEA/XABIA (ALICANTE),OK,12
5941504BC5954S,0.190258504251172,38.7594408181175,CM ADSUBIES 311 JAVEA/XABIA (ALICANTE),OK,12
9020005BC5981N,0.226064330589453,38.7413048455473,UR BALCON AL MAR E 132 JAVEA/XABIA (ALICANTE),OK,12
6243417BC5964S,0.19290837393092,38.7616454451041,CL ALGA 8 JAVEA/XABIA (ALICANTE),OK,12
4631002BC5943S,0.175304304731353,38.7506740450379,CL JEAN ARP 10 JAVEA/XABIA (ALICANTE),OK,12
0015025BC5905N,,,,SIN_COORDENADAS,
03082A01500403,0.138187114783404,38.7591515496965,CM TOSSAL GROS 8 Polígono 15 Parcela 403 COVATELLES. JAVEA/XABIA (ALICANTE),OK,1
3765506BC5937S,0.163266014305048,38.7899292299003,RD NORD 18 JAVEA/XABIA (ALICANTE),OK,4
7519307BC5971N,0.209495238980427,38.740274210299,CL PILOTER 14 JAVEA/XABIA (ALICANTE),OK,12
0008004BC5900S,0.156257744076153,38.7401910551732,CL LAGO ARAL 33 JAVEA/XABIA (ALICANTE),OK,1
5764601BC5956S,0.185953115330832,38.7808099786914,AV MEDITERRANEO 75 JAVEA/XABIA (ALICANTE),OK,7
0478134BC5907N,0.126344591311402,38.7932008081897,CL CABEÇO 20(D) JAVEA/XABIA (ALICANTE),OK,2
7826601BC5972N,0.2089270993847,38.7467894112036,CL TRENCALL 122 JAVEA/XABIA (ALICANTE),OK,12
6660008BC5964N,0.19670286558619,38.7677491904475,CL TESALONICA 9 JAVEA/XABIA (ALICANTE),OK,11
0008003BC5900S,0.155974401025094,38.7400521684485,CL LAGO ARAL 59 JAVEA/XABIA (ALICANTE),OK,1
5856804BC5955N,0.187766254607737,38.7733659071498,CL SAN RAFAEL 2 JAVEA/XABIA (ALICANTE),OK,11
2423702BC5922S,0.151048589938345,38.7443394948378,CL LAGO LADOGA 4 JAVEA/XABIA (ALICANTE),OK,1
2867902BC5926N,0.153768913766175,38.7831270241145,CL CIUDAD REAL 4 JAVEA/XABIA (ALICANTE),OK,1
0017030BC5905S,0.14280230803939,38.7757183140264,CR GATA 62 JAVEA/XABIA (ALICANTE),OK,1
2465903BC5926N,0.14968299087896,38.7819780463366,CM VELL DE GATA 71 JAVEA/XABIA (ALICANTE),OK,1
6924003BC5962S,0.201349991970462,38.745221547659,CL MILA 49 JAVEA/XABIA (ALICANTE),OK,12
2571636BC5926N,0.149769879004652,38.7846421299264,CL CANTALLOPS 21 JAVEA/XABIA (ALICANTE),OK,1
5271522BC5957S,0.181259060582223,38.7866311872372,UR BAHIA DE JAVEA 22 JAVEA/XABIA (ALICANTE),OK,7
0003019BC5900S,0.155947725389191,38.7412406656908,CL LAGO ARAL 34 JAVEA/XABIA (ALICANTE),OK,1
3562823BC5937S,0.160272623957655,38.7872978341705,CL MARE DE DEU DE LA SOLEDAT 15 JAVEA/XABIA (ALICANTE),OK,10
2773609BC5927S,0.152552398806591,38.7885921055835,CL LEON 8 JAVEA/XABIA (ALICANTE),OK,2
5079501BC5957N,0.178267899731171,38.7940194423253,AV LEPANTO 2(A) JAVEA/XABIA (ALICANTE),OK,6
5271503BC5957S,0.180290423045328,38.7864675245762,UR BAHIA DE JAVEA 3 JAVEA/XABIA (ALICANTE),OK,7
3679007BC5937N,0.16246895429488,38.7929352618257,CL DE LA SOBERANA 15 JAVEA/XABIA (ALICANTE),OK,1
4165014BC5947S,0.167983745195527,38.7898280743184,CL DEL CRONISTA FIGUERAS PAC 11 JAVEA/XABIA (ALICANTE),OK,8
5859011BC5955N,0.187192242569272,38.7755292858736,AV AUGUSTA 141(A) JAVEA/XABIA (ALICANTE),OK,11
9582901BC4998S,0.114426734649703,38.796057046575,CL HIDRA LA 5 JAVEA/XABIA (ALICANTE),OK,2
7816204BC5971N,0.212145434809285,38.7373281591901,CL ESCABUSSO 3 JAVEA/XABIA (ALICANTE),OK,12
03082A02100392,0.116399389683802,38.7866223240971,CM VALLS LES 33 Polígono 21 Parcela 392 VALLS. JAVEA/XABIA (ALICANTE),OK,1
2578906BC5927N,0.150199511928001,38.793896189303,CL DE LASTRES 27 JAVEA/XABIA (ALICANTE),OK,2
5533711BC5953S,0.185104330493182,38.7520241366393,UR PINO SOL 71 JAVEA/XABIA (ALICANTE),OK,12
4479109BC5947N,0.170773298067379,38.7937157256784,CM VELL DE LA MAR 31 JAVEA/XABIA (ALICANTE),OK,1
03082A01100079,0.194460570060183,38.730318643977,CM VELL DEL MORRO DE CASTELL 1 Polígono 11 Parcela 79 LA BRANCA. JAVEA/XABIA (ALICANTE),OK,12
3662006BC5937S,0.161852036299698,38.7873562371486,RD SUD 107 JAVEA/XABIA (ALICANTE),OK,9
2550709BC5925S,0.151404058576447,38.7705007642437,CM CABANES 285 JAVEA/XABIA (ALICANTE),OK,1
3274923BC5937N,0.157758073835784,38.7901734876422,AV ANGEL DOMENECH 18 JAVEA/XABIA (ALICANTE),OK,2
2038517BC5924S,0.148098804406829,38.7580826104286,CL RAFAEL ALBERTI 1 JAVEA/XABIA (ALICANTE),OK,1
3068433BC5936N,0.15550858550515,38.7831935624114,CL CARTAGENA 8 JAVEA/XABIA (ALICANTE),OK,1
2176821BC5927N,0.144874970334436,38.7907598782184,CM DELS CASTELLANS 67 JAVEA/XABIA (ALICANTE),OK,2
7913104BC5971S,0.213180957475564,38.7356235058356,CL AVUITARDA L' 25 JAVEA/XABIA (ALICANTE),OK,12
5568512BC5956N,0.183865076680507,38.7822943750429,AV MEDITERRANEO 130 JAVEA/XABIA (ALICANTE),OK,7
3966001BC5937N,0.165109439296218,38.7911658390191,CL DE LA SOBERANA 5(D) JAVEA/XABIA (ALICANTE),OK,4
03082A03100055,0.144141696394856,38.7738371524066,CM RIBES LES 3 Polígono 31 Parcela 55 CATARROGES. JAVEA/XABIA (ALICANTE),OK,1
2573429BC5927S,0.148620624356583,38.7880928076592,CL CUENCA 12 JAVEA/XABIA (ALICANTE),OK,2
2229307BC5923S,0.147172779805343,38.749749947217,CL MIGUEL DELIBES 11 JAVEA/XABIA (ALICANTE),OK,1
3479122BC5937N,0.158705696889408,38.7940640444691,CL SAGRA 1 JAVEA/XABIA (ALICANTE),OK,2
5338702BC5953N,0.182182288076533,38.7574798470574,UR PINO SOL 43 JAVEA/XABIA (ALICANTE),OK,1
