REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
8338402BC5983N,0.218037530668379,38.7577691572628,PD PORTITXOL 90 JAVEA/XABIA (ALICANTE),OK,12
8609008BC5980N,0.221369083984143,38.731854854595,UR BALCON AL MAR A 120 JAVEA/XABIA (ALICANTE),OK,12
2346310BC5924N,0.149211148432213,38.7634089784026,CL MAR DE IRLANDA 9 JAVEA/XABIA (ALICANTE),OK,1
2650103BC5925S,0.151653066287032,38.7675213258398,CL RIO CARBO 35 FINCA RESULTANTE Nº124 JAVEA/XABIA (ALICANTE),OK,1
7921523BC5972S,0.213407206691223,38.7432717043557,CL REQUERET DEL 6 JAVEA/XABIA (ALICANTE),OK,12
2650102BC5925S,0.151211089551312,38.7675492844412,CL RIO CARBO 37 FINCA RESULTANTE Nº123 JAVEA/XABIA (ALICANTE),OK,1
0178311BC5907N,0.122814956000006,38.7930330454592,CL PUIG DE GOÇALBO 6 PARCELA 44 GARROFERAL JAVEA/XABIA (ALICANTE),OK,2
7314701BC5971S,0.205816898641353,38.7357268774827,UR COSTA NOVA LA MARINA 12 JAVEA/XABIA (ALICANTE),OK,12
9582909BC4998S,0.114225535672661,38.7957137762087,CR DE JESUS POBRE 174 JAVEA/XABIA (ALICANTE),OK,2
2650109BC5925S,0.151214890060079,38.7671586423516,CL RIO CINCA 38 FINCA RESULTANTE Nº119 JAVEA/XABIA (ALICANTE),OK,1
7513006BC5971S,0.208807285903437,38.7353335743123,CL FAISA 33 JAVEA/XABIA (ALICANTE),OK,12
4647103BC5944N,0.174591485571199,38.765486860341,CL RIO ESCALONA 11 JAVEA/XABIA (ALICANTE),OK,1
3216601BC5931N,0.158354900733612,38.7361989619224,CL HANS HOLBEIN 57 JAVEA/XABIA (ALICANTE),OK,12
0681619BC5908S,0.129008423372156,38.7937460102713,CL BOVALAR 4 JAVEA/XABIA (ALICANTE),OK,2
9418009BC5991N,0.230441481280583,38.7402303638256,CL FRANZ JOSEPH HAYDN 39 JAVEA/XABIA (ALICANTE),OK,12
8821020BC5982S,0.223010078116193,38.7434072455146,CL CARL NIELSEN 41 JAVEA/XABIA (ALICANTE),OK,12
5229007BC5952N,0.181360605009583,38.7489232636544,CL MARCEL DUCHAMP 33 JAVEA/XABIA (ALICANTE),OK,12
8819719BC5981N,0.223641422523107,38.7405833743437,UR BALCON AL MAR E JAVEA/XABIA (ALICANTE),OK,12
9220606BC5991N,0.227489074234859,38.7412896601697,UR BALCON AL MAR E 164 JAVEA/XABIA (ALICANTE),OK,12
3216313BC5931N,0.160770021150379,38.7384884203001,CL LEONARDO DA VINCI 114 JAVEA/XABIA (ALICANTE),OK,12
5936013BC5953N,0.189327113008183,38.7557999635948,CL MELISSA 6 JAVEA/XABIA (ALICANTE),OK,12
8128005BC5982N,0.215413992422993,38.7499906009226,CL DE L'ALBER 19 JAVEA/XABIA (ALICANTE),OK,12
7137002BC5973N,0.203376295425429,38.7568979078562,PD CM CAP MARTI 236 JAVEA/XABIA (ALICANTE),OK,12
6436209BC5963N,0.19533266376539,38.7554863986003,PD CM CAP MARTI 111 JAVEA/XABIA (ALICANTE),OK,12
3939405BC5933N,0.167544780416993,38.7579518115649,CL RIO AMADORIO 14 JAVEA/XABIA (ALICANTE),OK,1
2132418BC5923S,0.146193272084145,38.7517386969107,CL LLUCA 19 JAVEA/XABIA (ALICANTE),OK,1
