N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1021422,504025,5560001BC5955N0108WR,8,"52.107,01","0,908","133,17",160,"293,17",52107.01,0.908,133.17,293.17,5560001,BC5955N,0108,WR,BC5955,Arenal / Canal / Montañar
1008630,466981,2031916BC5923S0001FW,8,"52.303,47","0,912","133,20",160,"293,20",52303.47,0.912,133.2,293.2,2031916,BC5923S,0001,FW,BC5923,Rafalet / Lluca / Covatelles
1017431,488652,1539665BC5914S0001LG,8,"52.444,83","0,914","133,23",160,"293,23",52444.83,0.914,133.23,293.23,1539665,BC5914S,0001,LG,BC5914,Montgó / Toscamar
1015736,474651,3667029BC5936N0001UE,8,"52.453,74","0,914","133,23",160,"293,23",52453.74,0.914,133.23,293.23,3667029,BC5936N,0001,UE,BC5936,Casco urbano / Pueblo
1009569,470878,9388943BC4998N0001HE,8,"52.850,55","0,921","133,29",160,"293,29",52850.55,0.921,133.29,293.29,9388943,BC4998N,0001,HE,BC4998,Les Fonts / Castellans
1018523,504838,5133418BC5953S0001UF,8,"53.052,05","0,925","133,32",160,"293,32",53052.05,0.925,133.32,293.32,5133418,BC5953S,0001,UF,BC5953,Arenal / Canal / Montañar
1010785,490730,1195380BC5917N0001AS,8,"53.306,24","0,929","133,36",160,"293,36",53306.24,0.929,133.36,293.36,1195380,BC5917N,0001,AS,BC5917,Montgó / Toscamar
1000037,505201,3450404BC5934N0001TG,8,"53.408,46","0,931","133,38",160,"293,38",53408.46,0.931,133.38,293.38,3450404,BC5934N,0001,TG,BC5934,Casco urbano / Pueblo
1015765,464709,2963020BC5936N0001UE,8,"53.568,75","0,934","133,40",160,"293,40",53568.75,0.934,133.4,293.4,2963020,BC5936N,0001,UE,BC5936,Casco urbano / Pueblo
1021621,474740,4877001BC5947N0092BL,8,"54.008,94","0,941","133,47",160,"293,47",54008.94,0.941,133.47,293.47,4877001,BC5947N,0092,BL,BC5947,Casco urbano / Pueblo
